title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,latitude,longitude
"Polyphonic Studios, LLC",5.0,11,3065 Cranberry Hwy Suite C-18,East Wareham,Massachusetts,US,https://www.polyphonicstudios.com/,(508) 759-1906,Recording studio,https://www.google.com/maps/search/?api=1&query=Polyphonic%20Studios%2C%20LLC&query_place_id=ChIJOf3BhnPJ5IkR-QE_oAlt8C4,,
TPS (The Print Shop),5.0,1,59 Kennebec Ave 2nd Floor,Oak Bluffs,Massachusetts,US,http://www.printshopaudio.com/,(413) 265-5064,Recording studio,https://www.google.com/maps/search/?api=1&query=TPS%20(The%20Print%20Shop)&query_place_id=ChIJO7BT7w4p5YkRjlOloXnsrsE,,
"Mixed By Toch Recording, Mixing and Mastering Studio",5.0,14,240 N Main St,Millbury,Massachusetts,US,http://www.mixedbytoch.com/,(774) 312-5344,Recording studio,https://www.google.com/maps/search/?api=1&query=Mixed%20By%20Toch%20Recording%2C%20Mixing%20and%20Mastering%20Studio&query_place_id=ChIJZRVE7xUF5IkR8friwNwhgVk,,
The Musik Studio of Cape Cod,,0,421 Wianno Ave,Osterville,Massachusetts,US,http://www.themusikstudio.com/,(508) 332-8702,Music instructor,https://www.google.com/maps/search/?api=1&query=The%20Musik%20Studio%20of%20Cape%20Cod&query_place_id=ChIJ_TF9jHct-4kRnZU0o9G-YyE,,
SSN Recording Studios,5.0,3,Greenland Pond Rd,Brewster,Massachusetts,US,https://www.ssnstudios.com/,(774) 229-3871,Recording studio,https://www.google.com/maps/search/?api=1&query=SSN%20Recording%20Studios&query_place_id=ChIJCwrm9B1A-4kROmAXQwkVZqo,,
Peerless Mastering,4.6,9,161 North St,Newton,Massachusetts,US,https://peerlessmastering.com/,(617) 527-2200,Recording studio,https://www.google.com/maps/search/?api=1&query=Peerless%20Mastering&query_place_id=ChIJvYNa2cCC44kR6SeNzS_gOKY,,
Phoenix Down Recording,4.9,123,228 Lowell St,Somerville,Massachusetts,US,http://phoenixdownrecording.com/,(973) 525-9445,Recording studio,https://www.google.com/maps/search/?api=1&query=Phoenix%20Down%20Recording&query_place_id=ChIJIR6rCC9344kRm0qEF_Wlbu0,,
Checkpoint East Studios,5.0,6,129 MA-6A,Orleans,Massachusetts,US,http://www.checkpointeast.com/,(774) 316-3221,Recording studio,https://www.google.com/maps/search/?api=1&query=Checkpoint%20East%20Studios&query_place_id=ChIJE0ZLMA9p-4kRBbepUPntZdU,,
Eidolon Recording Studios,5.0,87,137 Grove St,Waltham,Massachusetts,US,https://www.eidolonrecords.com/,(617) 818-3399,Recording studio,https://www.google.com/maps/search/?api=1&query=Eidolon%20Recording%20Studios&query_place_id=ChIJzczKxcmC44kRHLEvRv8NaE8,,
Railroad Park Recording Co.,5.0,8,18 McKinley St,Westport,Massachusetts,US,,(508) 971-8869,Recording studio,https://www.google.com/maps/search/?api=1&query=Railroad%20Park%20Recording%20Co.&query_place_id=ChIJx0rFd-L95IkR00c5oYrsiV0,,
Sound Alchemist LLC,5.0,2,139 Bellwood Cir,Bellingham,Massachusetts,US,https://www.soundalchemistllc.com/,(508) 948-5486,Recording studio,https://www.google.com/maps/search/?api=1&query=Sound%20Alchemist%20LLC&query_place_id=ChIJ2QKesbJt5IkR77ekhuC3Tes,,
Wingbeats Recording Studio,4.9,14,100 Southern Eagle Cartway,Brewster,Massachusetts,US,http://wingbeatsrecordingstudio.com/,(774) 323-8515,Recording studio,https://www.google.com/maps/search/?api=1&query=Wingbeats%20Recording%20Studio&query_place_id=ChIJjd4xyEtr-4kRUBSB7R2Muuo,,
Mix One Studios Inc,4.6,11,14 Fordham Rd,Allston,Massachusetts,US,http://www.mixonestudios.com/,(617) 536-6767,Recording studio,https://www.google.com/maps/search/?api=1&query=Mix%20One%20Studios%20Inc&query_place_id=ChIJR5785x1644kRhXAhz15tbyk,,
Studio 219 Boston Underground,5.0,6,55 William T Morrissey Blvd Suite 219,Dorchester,Massachusetts,US,,(617) 685-9329,Recording studio,https://www.google.com/maps/search/?api=1&query=Studio%20219%20Boston%20Underground&query_place_id=ChIJRxA7Ao1744kRzNK9IlSu7hs,,
Royal Starz Studios,4.8,19,"Royal Starz Studios, 12 Shaw St",Quincy,Massachusetts,US,https://royalstarzentertainmentllc.simplybook.me/v2/,(508) 232-9115,Recording studio,https://www.google.com/maps/search/?api=1&query=Royal%20Starz%20Studios&query_place_id=ChIJdabcv05j44kRpLs8AzpNVMM,,
1357 Recording Studio,5.0,11,1357 Bernardston Rd,Greenfield,Massachusetts,US,https://www.1357recordingstudio.com/,(208) 562-7984,Recording studio,https://www.google.com/maps/search/?api=1&query=1357%20Recording%20Studio&query_place_id=ChIJE-DTsTgl4YkR-Q5j6eirOcg,,
Sovereignty Music Services,,0,17 South St,Bernardston,Massachusetts,US,http://www.sovereigntymusic.com/,(413) 648-9595,Recording studio,https://www.google.com/maps/search/?api=1&query=Sovereignty%20Music%20Services&query_place_id=ChIJi5Kt9o8k4YkR32mNo37rzy0,,
Grizz Gang Forever Studios LLC,5.0,28,773 Main St,Fitchburg,Massachusetts,US,http://grizzgangforever.com/,(978) 516-3039,Recording studio,https://www.google.com/maps/search/?api=1&query=Grizz%20Gang%20Forever%20Studios%20LLC&query_place_id=ChIJyaV4Y6jn44kRPXi_pDjkjnU,,
Blu City Studio,4.9,115,36 Cambridge St,Worcester,Massachusetts,US,http://blucitystudio.com/,(508) 719-6878,Recording studio,https://www.google.com/maps/search/?api=1&query=Blu%20City%20Studio&query_place_id=ChIJCSYDvBAH5IkR9kx8s1GjPIE,,
Plus2RecordingStudio,,0,Mechanic St,Fitchburg,Massachusetts,US,http://www.facebook.com/Plus2RecordingStudio,(978) 216-0754,Recording studio,https://www.google.com/maps/search/?api=1&query=Plus2RecordingStudio&query_place_id=ChIJ5-FvHWvn44kR95f0TUkTucY,,
Wellspring Sound Studio,4.9,22,3 Eastern Rd,Acton,Massachusetts,US,https://www.wellspringsound.com/,(978) 263-9246,Recording studio,https://www.google.com/maps/search/?api=1&query=Wellspring%20Sound%20Studio&query_place_id=ChIJW1jz13KX44kRJQbfcud2wVc,,
Anthemic Recordings,5.0,12,"1607, 241 Hill Rd",Groton,MA,US,https://www.anthemicrecordingstudios.com/,(978) 877-3335,Recording studio,https://www.google.com/maps/search/?api=1&query=Anthemic%20Recordings&query_place_id=ChIJQ_wyJDLA44kRPgp3CasTFms,,
Northfire Recording Studio,4.7,20,15 Grove St,Amherst,Massachusetts,US,http://northfirerecording.com/,(413) 256-0404,Recording studio,https://www.google.com/maps/search/?api=1&query=Northfire%20Recording%20Studio&query_place_id=ChIJCzfPP-3N5okRWk9OxPJqURM,,
so—ripe studios.,5.0,72,100 Phoenix Ave #2b,Lowell,Massachusetts,US,https://www.soripestudios.com/,,Recording studio,https://www.google.com/maps/search/?api=1&query=so%E2%80%94ripe%20studios.&query_place_id=ChIJ99JE8gyn44kRNlYrRTIBmIQ,,
Infinite Recording Studios,4.9,62,236 Ash St,Reading,Massachusetts,US,https://infiniterecording.com/,(617) 286-6821,Recording studio,https://www.google.com/maps/search/?api=1&query=Infinite%20Recording%20Studios&query_place_id=ChIJD7KnLEgL44kRn4SyQGRuIhw,,
Surefire Creative Studios,4.8,17,100 Phoenix Ave,Lowell,Massachusetts,US,,,Recording studio,https://www.google.com/maps/search/?api=1&query=Surefire%20Creative%20Studios&query_place_id=ChIJZ1tXvKWm44kR1SGe7xSzjqA,,
Notown Productions,5.0,5,11 Clark St,Gardner,Massachusetts,US,https://www.notownproduction.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1266244044011152098,,Recording studio,https://www.google.com/maps/search/?api=1&query=Notown%20Productions&query_place_id=ChIJ57O0EAFf4YkRvH9p7i5-dgs,,
Ugly Duck Studios,4.9,85,55 William T Morrissey Blvd,Dorchester,Massachusetts,US,http://www.uglyduckstudios.com/,(617) 861-0510,Recording studio,https://www.google.com/maps/search/?api=1&query=Ugly%20Duck%20Studios&query_place_id=ChIJ7z0b5TJ444kRYAd9itpBqWA,,
EmpathyMusicProductions,4.9,134,,,,,https://www.empathymusicproductions.com/,(413) 454-2002,Music management and promotion,https://www.google.com/maps/search/?api=1&query=EmpathyMusicProductions&query_place_id=ChIJe_HqranABgcR9eaLlILSVZU,,
Lit Honey Productions,4.9,16,129 Concord St #6,Framingham,Massachusetts,US,https://lithoneyproductions.com/,(508) 834-2047,Recording studio,https://www.google.com/maps/search/?api=1&query=Lit%20Honey%20Productions&query_place_id=ChIJ75gOUAWJ44kRiSYFYrSfX8k,,
Merrimack Records Entertainment Inc.,4.9,10,225 Stedman St #33,Lowell,Massachusetts,US,,(978) 995-9040,Recording studio,https://www.google.com/maps/search/?api=1&query=Merrimack%20Records%20Entertainment%20Inc.&query_place_id=ChIJk8-OHmSj44kR1HJteIoQup0,,
5 LiLAC Studios,5.0,1,27 Almeria Cir,Westford,Massachusetts,US,http://www.5lilac.com/,(617) 294-9427,Recording studio,https://www.google.com/maps/search/?api=1&query=5%20LiLAC%20Studios&query_place_id=ChIJH86PDnKV44kRi4eNHj1PGU0,,
Wonka Sound,5.0,7,225 Stedman St STE 21,Lowell,Massachusetts,US,http://www.wonkasound.com/,(978) 273-9831,Recording studio,https://www.google.com/maps/search/?api=1&query=Wonka%20Sound&query_place_id=ChIJ4T70EGSj44kRqvb7QesqDWQ,,
Reptile Records,,0,144 Chappaquiddick Rd,Edgartown,Massachusetts,US,,,Recording studio,https://www.google.com/maps/search/?api=1&query=Reptile%20Records&query_place_id=ChIJQU-DwD0t5YkRK6rP4f--qd4,,
Parr Audio,,0,19 Winthrop Ave,Oak Bluffs,Massachusetts,US,http://jimmyparr.com/,(774) 212-0903,Recording studio,https://www.google.com/maps/search/?api=1&query=Parr%20Audio&query_place_id=ChIJ67ltlBop5YkRwqNSImRkwWE,,
CTNT Studios,5.0,10,303 Ashley Blvd,New Bedford,Massachusetts,US,,(774) 319-7558,Recording studio,https://www.google.com/maps/search/?api=1&query=CTNT%20Studios&query_place_id=ChIJmVx8Lavl5IkR057Pei6Yq2k,,
Ls Music studio,4.7,9,9 S 6th St,New Bedford,Massachusetts,US,,(508) 441-7641,Recording studio,https://www.google.com/maps/search/?api=1&query=Ls%20Music%20studio&query_place_id=ChIJaa0yc_Hj5IkRYbDwRwB9-g8,,
The Record Co.,4.9,139,960 Massachusetts Ave,Boston,Massachusetts,US,http://www.therecordco.org/,(617) 765-0155,Recording studio,https://www.google.com/maps/search/?api=1&query=The%20Record%20Co.&query_place_id=ChIJXypdt0Z644kRFrQIkbKOZRA,,
Bongo Beach Productions,5.0,1,29 Summer Ave,Westport,Massachusetts,US,http://www.bongobeachproductions.com/,(508) 971-8473,Recording studio,https://www.google.com/maps/search/?api=1&query=Bongo%20Beach%20Productions&query_place_id=ChIJIzOZpcL45IkRSYyCCz9ObQo,,
BandStand Live,4.8,54,391 W Water St 2nd floor,Taunton,Massachusetts,US,http://www.bandstandlive.com/,(508) 977-2263,Recording studio,https://www.google.com/maps/search/?api=1&query=BandStand%20Live&query_place_id=ChIJTWb0el7z5IkRTtn8t6zgRr4,,
Blink Music,4.9,20,129 Franklin St Suite 123,Cambridge,Massachusetts,US,http://www.blinkmusic.com/,(617) 225-0044,Recording studio,https://www.google.com/maps/search/?api=1&query=Blink%20Music&query_place_id=ChIJ-frhSVR344kRajAUsoq4rT8,,
JTHEDJ STUDIOS LLC,5.0,29,1295 River St,Hyde Park,Massachusetts,US,https://www.jthedjstudios.com/,(617) 669-3940,Recording studio,https://www.google.com/maps/search/?api=1&query=JTHEDJ%20STUDIOS%20LLC&query_place_id=ChIJjzGI6-R_44kRhexqU05TlUY,,
The Mix Loft Recording Studio,4.9,46,1431 Hancock St,Quincy,Massachusetts,US,http://www.themixloftstudio.com/,(617) 639-1205,Recording studio,https://www.google.com/maps/search/?api=1&query=The%20Mix%20Loft%20Recording%20Studio&query_place_id=ChIJO7yRM7V844kR5BqQjQuSdTw,,
Bristol Recording and Voice Studios,4.0,26,238 Huntington Ave,Boston,Massachusetts,US,https://bristolstudios.com/,(617) 247-8689,Recording studio,https://www.google.com/maps/search/?api=1&query=Bristol%20Recording%20and%20Voice%20Studios&query_place_id=ChIJ-UIJ7hp644kR7F7zdxY78dA,,
Music Street Architects,,0,11 Music St,Vineyard Haven,Massachusetts,US,,(508) 274-2905,Architect,https://www.google.com/maps/search/?api=1&query=Music%20Street%20Architects&query_place_id=ChIJVVUJA9wk5YkRua6Psl3jiCU,,
Live Edge Recording Studio,,0,MA-112,Colrain,Massachusetts,US,https://www.liveedgerecording.com/,,Recording studio,https://www.google.com/maps/search/?api=1&query=Live%20Edge%20Recording%20Studio&query_place_id=ChIJl8YtWn0h4YkRsCJX87agJLU,,
Galaxy Recording Studio,,0,1 River St Building 17,Erving,Massachusetts,US,,(413) 367-4870,Recording studio,https://www.google.com/maps/search/?api=1&query=Galaxy%20Recording%20Studio&query_place_id=ChIJhZ9MnNox4YkRan5gk_MzF4g,,
Sonelab,5.0,20,142 Pleasant St,Easthampton,Massachusetts,US,http://www.sonelab.com/,(413) 203-5251,Recording studio,https://www.google.com/maps/search/?api=1&query=Sonelab&query_place_id=ChIJG-m0IqvZ5okRH52TOcQmfv0,,
Face the Music Recording Studio,5.0,1,256 Locks Pond Rd,Shutesbury,Massachusetts,US,,(413) 367-9900,Recording studio,https://www.google.com/maps/search/?api=1&query=Face%20the%20Music%20Recording%20Studio&query_place_id=ChIJi5YFjPwz4YkRC2fIIJb1fQA,,
Melody Fair recording studio,5.0,5,Carver Rd,Plymouth,Massachusetts,US,https://ginamark.com/melody-fair-recording-studio,(774) 269-1317,Recording studio,https://www.google.com/maps/search/?api=1&query=Melody%20Fair%20recording%20studio&query_place_id=ChIJ--9oZg675IkRULAr4pJ3SLs,,
Ultrasound Productions,4.4,7,14 Hanover St,Hanover,Massachusetts,US,http://www.ultrasoundproductions.com/,(781) 956-2426,Recording studio,https://www.google.com/maps/search/?api=1&query=Ultrasound%20Productions&query_place_id=ChIJ51ivDHef5IkRG752G-09ao4,,
Turning Point Recording Studio,5.0,13,22 Bartlett St,Pembroke,Massachusetts,US,http://www.tprecords.com/,(781) 294-7593,Recording studio,https://www.google.com/maps/search/?api=1&query=Turning%20Point%20Recording%20Studio&query_place_id=ChIJt9GETg2Y5IkRpLyPBTK1Syo,,
Odd Fellows Recording,5.0,4,21 Cottage St,Weymouth,Massachusetts,US,http://oddfellowsrecording.com/,(781) 331-3960,Recording studio,https://www.google.com/maps/search/?api=1&query=Odd%20Fellows%20Recording&query_place_id=ChIJqcfiFstj44kRLcJY2LnSbA4,,
37' Productions,5.0,5,375 Liberty St,Rockland,Massachusetts,US,http://37ft.com/,(339) 788-1162,Recording studio,https://www.google.com/maps/search/?api=1&query=37'%20Productions&query_place_id=ChIJ0be-XSqc5IkRJjJYHEm4u9s,,
RISE | Boston's Premier Studio,5.0,2,87 Washington St,Weymouth,Massachusetts,US,http://www.risestudiosboston.com/,(617) 910-0795,Recording studio,https://www.google.com/maps/search/?api=1&query=RISE%20%7C%20Boston's%20Premier%20Studio&query_place_id=ChIJizjmKgBj44kR7PRObQl6AT0,,
Creative Audio Works LLC,5.0,7,15 Bay Colony Dr,Plymouth,Massachusetts,US,https://creativeaudioworks.com/,(508) 747-1858,Recording studio,https://www.google.com/maps/search/?api=1&query=Creative%20Audio%20Works%20LLC&query_place_id=ChIJS4gxyX2w5IkRMEO2AAt9ZPQ,,
John Eye Productions / Beach House Studios,5.0,6,47 Wituwamat Rd,Weymouth,Massachusetts,US,http://www.thebeachhousestudios.com/#contact,,Recording studio,https://www.google.com/maps/search/?api=1&query=John%20Eye%20Productions%20%2F%20Beach%20House%20Studios&query_place_id=ChIJFV5loZxj44kRgTgNDuSffyI,,
The SoundLab Recording Studios,4.7,25,60 Skinner St,Brockton,Massachusetts,US,http://www.soundlabma.com/,(508) 521-9170,Recording studio,https://www.google.com/maps/search/?api=1&query=The%20SoundLab%20Recording%20Studios&query_place_id=ChIJOeBVDNqE5IkR-fYl5bfx1dw,,
Professional Audio Design,4.3,24,199 Winter St,Hanover,Massachusetts,US,https://www.proaudiodesign.com/,(781) 982-2600,Audio visual equipment supplier,https://www.google.com/maps/search/?api=1&query=Professional%20Audio%20Design&query_place_id=ChIJK9N1Zyqc5IkRTVVB_G3cHYg,,
Sawmill Recordings,5.0,1,272 Pine St,Holbrook,Massachusetts,US,https://www.sawmillrecordings.com/,(781) 964-0431,Recording studio,https://www.google.com/maps/search/?api=1&query=Sawmill%20Recordings&query_place_id=ChIJAXOuDYSd5IkRAdestYUg-xY,,
Skyhouse Recording Studio,4.5,8,1458 Hancock St,Quincy,Massachusetts,US,http://skyhouserecording.com/,(617) 903-0844,Recording studio,https://www.google.com/maps/search/?api=1&query=Skyhouse%20Recording%20Studio&query_place_id=ChIJSSoN_qd_5IkRuf9NHVSgdpo,,
City Life Recording Studios,5.0,4,33 Dover St,Brockton,Massachusetts,US,,(508) 263-0469,Recording studio,https://www.google.com/maps/search/?api=1&query=City%20Life%20Recording%20Studios&query_place_id=ChIJt9vZ0zaF5IkRcKsda4gWp7c,,
Adlib Studios,5.0,2,1150 Hancock St,Quincy,Massachusetts,US,https://www.adlibstudiosllc.com/,,Recording studio,https://www.google.com/maps/search/?api=1&query=Adlib%20Studios&query_place_id=ChIJh-lNvf9944kRZLHcXWbXqTw,,
Clips films and studios,5.0,2,630 Montello St,Brockton,Massachusetts,US,,(508) 818-6560,Recording studio,https://www.google.com/maps/search/?api=1&query=Clips%20films%20and%20studios&query_place_id=ChIJKwkEz6yF5IkRt-mE3h0H__M,,
Augspurger,5.0,1,199 Winter St,Hanover,Massachusetts,US,http://augspurger.com/,(781) 616-6325,Store,https://www.google.com/maps/search/?api=1&query=Augspurger&query_place_id=ChIJPbmCnNqe5IkRD8lROzew_2s,,
Soundcheck Studios,4.8,398,150 Corporate Park Dr,Pembroke,Massachusetts,US,https://www.soundcheck-studios.com/,(781) 730-5233,Live music venue,https://www.google.com/maps/search/?api=1&query=Soundcheck%20Studios&query_place_id=ChIJJybBgkmh5IkR40Us4y0P5Ec,,
Traxshed Sound Studio,,0,38 Edgeworth St,Weymouth,Massachusetts,US,,(617) 833-5804,Recording studio,https://www.google.com/maps/search/?api=1&query=Traxshed%20Sound%20Studio&query_place_id=ChIJse2AEz5i44kR0WDEnBd_FxQ,,
RT3 Stages,5.0,3,125 Enterprise Dr,Marshfield,Massachusetts,US,http://rt3stages.com/,(617) 933-9733,Photography studio,https://www.google.com/maps/search/?api=1&query=RT3%20Stages&query_place_id=ChIJ52AlOjCh5IkRB8_vVTJFWbk,,
expozedtv Studios,5.0,60,51 B St #6,Hanover,Massachusetts,US,http://expozedtv.com/,(339) 788-9482,Video production service,https://www.google.com/maps/search/?api=1&query=expozedtv%20Studios&query_place_id=ChIJ9wXozjZ344kRI9oFcYrMaOU,,
Hop Top Films,5.0,8,83 E Water St,Rockland,Massachusetts,US,https://www.hoptopfilms.com/,(508) 821-8827,Film production company,https://www.google.com/maps/search/?api=1&query=Hop%20Top%20Films&query_place_id=ChIJYSbuboad5IkR04qLnvFGdc0,,
MML Studios,4.9,10,102 Bellevue St,Boston,Massachusetts,US,,(857) 939-4842,Recording studio,https://www.google.com/maps/search/?api=1&query=MML%20Studios&query_place_id=ChIJ0aCKNXJ744kRFPZYaXH50m8,,
Firekeeper Recording Studios,4.9,68,47 Pleasant St,Everett,Massachusetts,US,https://www.firekeeperstudios.com/,(401) 585-0557,Recording studio,https://www.google.com/maps/search/?api=1&query=Firekeeper%20Recording%20Studios&query_place_id=ChIJB0nZZihx44kRt8l7VgVzYJg,,
R Productions,5.0,3,30 Ivy Cir,Bridgewater,Massachusetts,US,https://rprostudio.com/,(800) 524-1487,Recording studio,https://www.google.com/maps/search/?api=1&query=R%20Productions&query_place_id=ChIJI38i7OiN5IkRZ5hBJ29UoLo,,
Provincetown Recording Studio,,0,74 Shank Painter Rd Unit 2B,Provincetown,Massachusetts,US,https://provincetownrecords.com/,(508) 789-2438,Recording studio,https://www.google.com/maps/search/?api=1&query=Provincetown%20Recording%20Studio&query_place_id=ChIJsQNRbA6n_IkRA_RAzGPVjuc,,
